,locusId,type,scaffoldId,begin,end,length,strand,desc,GC,nTA,pval_raw_rep1,pval_corrected_rep1,n_inserts_rep1,pval_raw_rep2,pval_corrected_rep2,n_inserts_rep2,essentiality
350,HNEAP_RS01760,1,NC_013422.1,358362,359411,1049,+,recombinase RecA,0.5705,21,0.782247292,1883.65148,46,0.64121545,1544.046803,42,nonessential
351,HNEAP_RS01765,1,NC_013422.1,359427,359933,506,+,regulatory protein RecX,0.5779,10,0.638317672,1537.068953,21,0.516231876,1243.086357,19,nonessential
352,HNEAP_RS01770,1,NC_013422.1,360107,362722,2615,+,alanine--tRNA ligase,0.5826,43,1.02E-46,2.45E-43,0,2.62E-45,6.30E-42,0,essential
353,HNEAP_RS01775,1,NC_013422.1,362922,364154,1232,+,aspartate kinase,0.5312,33,2.15E-22,5.17E-19,0,9.91E-22,2.39E-18,0,essential
354,HNEAP_RS01780,1,NC_013422.1,364233,364448,215,+,carbon storage regulator,0.4815,5,0.068990015,166.1279562,4,0.032689194,78.71558019,3,nonessential
355,HNEAP_RS01785,1,NC_013422.1,364525,365724,1199,+,ammonium transporter,0.5517,23,0.146507508,352.7900783,40,0.199651202,480.7600948,40,nonessential
356,HNEAP_RS01790,5,NC_013422.1,365792,365881,89,+,tRNA-Ser,0.5667,4,0.027206804,65.51398474,0,0.030386115,73.16976501,0,ambiguous
357,HNEAP_RS12440,1,NC_013422.1,366741,366911,170,+,AlpA family phage regulatory protein,0.5263,3,0.033325301,80.24732476,2,0.038971197,93.84264277,2,nonessential
358,HNEAP_RS12445,1,NC_013422.1,367010,369424,2414,-,relaxase,0.5395,48,0.999979709,2407.951139,137,0.99998882,2407.973079,135,nonessential
359,HNEAP_RS01810,1,NC_013422.1,369414,369818,404,-,hypothetical protein,0.5383,6,0.999982346,2407.957488,34,0.999947031,2407.872451,32,nonessential
360,HNEAP_RS01815,1,NC_013422.1,370195,371868,1673,-,hypothetical protein,0.601,30,1.29E-07,0.000309824,29,1.79E-07,0.000432138,28,essential
361,HNEAP_RS01820,1,NC_013422.1,372103,372546,443,-,hypothetical protein,0.3806,17,0.996385384,2399.296005,29,0.992043602,2388.840994,27,nonessential
362,HNEAP_RS01825,1,NC_013422.1,372550,372795,245,-,hypothetical protein,0.4553,13,0.61828566,1488.83187,10,0.27080459,652.0974518,7,nonessential
363,HNEAP_RS01830,1,NC_013422.1,372792,376835,4043,-,hypothetical protein,0.5883,78,2.24E-35,5.39E-32,33,2.44E-34,5.88E-31,32,essential
364,GFF365,7,NC_013422.1,376812,377594,782,+,IS66 family transposase,0.5824,13,0.990532798,2385.202978,44,0.979023159,2357.487766,41,nonessential
365,GFF366,7,NC_013422.1,377632,378186,554,+,IS66 family transposase,0.573,8,0.990930885,2386.161571,33,0.994120011,2393.840987,33,nonessential
366,HNEAP_RS01845,1,NC_013422.1,378521,378835,314,-,hypothetical protein,0.4603,12,0.000293931,0.707784884,2,6.02E-05,0.144885533,1,nonessential
367,HNEAP_RS01850,1,NC_013422.1,378823,386097,7274,-,hypothetical protein,0.5783,140,0.451161297,1086.396404,286,0.51552806,1241.391567,280,nonessential
368,HNEAP_RS01855,1,NC_013422.1,386116,387873,1757,-,ShlB/FhaC/HecB family hemolysin secretion/activation protein,0.5387,57,0.496143525,1194.713609,69,0.500883728,1206.128016,67,nonessential
369,HNEAP_RS01860,1,NC_013422.1,388197,388487,290,-,addiction module antidote protein  HigA family,0.5464,7,0.735136832,1770.209492,13,0.672517163,1619.421328,12,nonessential
370,GFF371,7,NC_013422.1,388487,388765,278,-,Killer protein,0.4982,10,0.946550518,2279.293648,16,0.92645103,2230.894081,15,nonessential
371,HNEAP_RS01870,1,NC_013422.1,388762,389103,341,-,hypothetical protein,0.5468,6,0.999949386,2407.878123,29,0.999610476,2407.062027,26,nonessential
372,HNEAP_RS01875,1,NC_013422.1,389193,389444,251,-,hypothetical protein,0.6389,4,0.460262605,1108.312353,9,0.626054071,1507.538202,10,nonessential
373,HNEAP_RS01885,1,NC_013422.1,389710,390156,446,-,DUF302 domain-containing protein,0.5145,8,0.757783216,1824.741984,20,0.725462199,1746.912975,19,nonessential
374,HNEAP_RS12450,1,NC_013422.1,391181,391453,272,+,YkgJ family cysteine cluster protein,0.5238,5,0.999897225,2407.752519,24,0.999834993,2407.602664,23,nonessential
375,HNEAP_RS01890,1,NC_013422.1,391719,393110,1391,-,aromatic hydrocarbon degradation membrane protein,0.5345,36,0.263006714,633.3201683,50,0.244295325,588.2631435,48,nonessential
376,HNEAP_RS01895,1,NC_013422.1,393520,394365,845,-,diaminopimelate epimerase,0.5485,11,6.83E-10,1.65E-06,5,1.67E-09,4.03E-06,5,essential
377,HNEAP_RS01900,1,NC_013422.1,394554,394997,443,+,hypothetical protein,0.5473,9,0.999999999,2407.999999,47,0.999999999,2407.999998,46,nonessential
378,HNEAP_RS01905,1,NC_013422.1,395075,396916,1841,+,translational GTPase TypA,0.5581,35,0.664601662,1600.360802,76,0.631300223,1520.170938,73,nonessential
379,HNEAP_RS01910,1,NC_013422.1,396964,398319,1355,+,signal recognition particle protein,0.5789,22,1.47E-24,3.55E-21,0,7.93E-24,1.91E-20,0,essential
380,HNEAP_RS01915,5,NC_013422.1,398461,398544,83,+,tRNA-Leu,0.5476,3,0.034690047,83.53363351,0,0.038456233,92.60260869,0,ambiguous
381,HNEAP_RS01920,1,NC_013422.1,398612,399910,1298,+,trigger factor,0.5566,12,0.003391345,8.166359609,33,0.002335765,5.624522908,31,nonessential
382,HNEAP_RS01925,1,NC_013422.1,400076,400708,632,+,ATP-dependent Clp endopeptidase  proteolytic subunit ClpP,0.5197,11,0.23714399,571.0427276,21,0.158688666,382.1223068,19,nonessential
383,HNEAP_RS01930,1,NC_013422.1,400769,402073,1304,+,ATP-dependent Clp protease ATP-binding subunit ClpX,0.5525,18,0.230974122,556.1856852,46,0.302842372,729.2444306,46,nonessential
384,HNEAP_RS01935,1,NC_013422.1,402313,404745,2432,+,endopeptidase La,0.5614,38,0.966458156,2327.23124,114,0.950220604,2288.131215,109,nonessential
385,HNEAP_RS01940,1,NC_013422.1,405027,405299,272,+,HU family DNA-binding protein,0.5311,3,0.151601632,365.0567289,7,0.175504539,422.6149299,7,nonessential
386,HNEAP_RS01945,1,NC_013422.1,405502,407439,1937,+,peptidyl-prolyl cis-trans isomerase,0.5624,31,2.43E-11,5.84E-08,27,1.34E-11,3.22E-08,25,essential
387,HNEAP_RS01950,1,NC_013422.1,407619,408407,788,-,enoyl-ACP reductase,0.5779,12,1.38E-14,3.33E-11,0,3.68E-14,8.86E-11,0,essential
388,HNEAP_RS01955,1,NC_013422.1,408537,410513,1976,+,ABC transporter substrate-binding protein,0.5665,46,0.99989673,2407.751325,112,0.999888918,2407.732513,109,nonessential
389,HNEAP_RS01960,1,NC_013422.1,410515,411264,749,+,hypothetical protein,0.596,19,0.961777218,2315.959541,39,0.96221744,2317.019595,38,nonessential
390,HNEAP_RS01965,1,NC_013422.1,411276,411950,674,+,FMN-binding negative transcriptional regulator,0.5778,14,0.978933478,2357.271815,37,0.978505291,2356.240741,36,nonessential
391,HNEAP_RS01970,1,NC_013422.1,411947,413011,1064,+,microcin C ABC transporter permease YejB,0.5502,24,0.999932746,2407.838052,68,0.999972951,2407.934867,68,nonessential
392,HNEAP_RS01975,1,NC_013422.1,413008,414048,1040,+,ABC transporter permease,0.5783,26,0.798899248,1923.749389,46,0.851046039,2049.318861,46,nonessential
393,HNEAP_RS01980,1,NC_013422.1,414118,414513,395,-,YkgJ family cysteine cluster protein,0.6111,8,0.999862538,2407.668992,31,0.999611053,2407.063416,29,nonessential
394,HNEAP_RS01985,1,NC_013422.1,414775,415542,767,+,ABC transporter substrate-binding protein,0.5065,24,0.588264456,1416.540811,31,0.653685123,1574.073777,31,nonessential
395,HNEAP_RS01990,1,NC_013422.1,416111,416392,281,+,DUF1255 domain-containing protein,0.5284,3,0.990783158,2385.805845,19,0.993269387,2391.792684,19,nonessential
396,HNEAP_RS01995,1,NC_013422.1,416802,418271,1469,+,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase,0.551,31,0.465382302,1120.640584,57,0.346012819,833.198869,53,nonessential
397,HNEAP_RS02000,1,NC_013422.1,418294,419646,1352,-,metal-dependent phosphohydrolase,0.5772,22,0.554974269,1336.378039,54,0.739828022,1781.505877,56,nonessential
398,HNEAP_RS02005,1,NC_013422.1,419701,421428,1727,-,single-stranded-DNA-specific exonuclease RecJ,0.588,24,0.160733951,387.0473544,60,0.192450519,463.4208496,59,nonessential
399,HNEAP_RS02010,1,NC_013422.1,421502,423019,1517,-,exopolyphosphatase,0.5731,28,0.318442141,766.8086746,56,0.356050497,857.3695969,55,nonessential
400,HNEAP_RS02015,1,NC_013422.1,423167,424231,1064,-,fructose-bisphosphate aldolase class II,0.5615,18,1.93E-19,4.66E-16,0,7.25E-19,1.75E-15,0,essential
401,HNEAP_RS02020,1,NC_013422.1,424313,425788,1475,-,pyruvate kinase,0.5542,30,1.14E-26,2.75E-23,0,7.13E-26,1.72E-22,0,essential
402,HNEAP_RS02025,1,NC_013422.1,425798,426997,1199,-,phosphoglycerate kinase,0.5567,13,8.17E-22,1.97E-18,0,3.62E-21,8.72E-18,0,essential
403,HNEAP_RS02030,1,NC_013422.1,427153,428151,998,-,type I glyceraldehyde-3-phosphate dehydrogenase,0.5415,13,2.80E-18,6.74E-15,0,9.67E-18,2.33E-14,0,essential
404,HNEAP_RS02035,1,NC_013422.1,428269,430257,1988,-,transketolase,0.5726,30,1.08E-35,2.61E-32,0,1.28E-34,3.08E-31,0,essential
405,HNEAP_RS02040,1,NC_013422.1,430447,430998,551,-,thioredoxin family protein,0.5199,18,1,2408,84,1,2408,79,nonessential
406,HNEAP_RS02045,1,NC_013422.1,431225,432082,857,+,hypothetical protein,0.5513,16,0.999999804,2407.999528,66,0.999999934,2407.999842,66,nonessential
407,HNEAP_RS02050,1,NC_013422.1,432170,433252,1082,+,IS630 family transposase,0.5946,12,0.999999982,2407.999957,82,0.999999958,2407.999899,79,nonessential
408,HNEAP_RS02055,1,NC_013422.1,433325,434497,1172,+,methionine adenosyltransferase,0.5772,20,1.21E-19,2.90E-16,1,5.01E-19,1.21E-15,1,essential
409,HNEAP_RS02060,1,NC_013422.1,434628,436040,1412,+,adenosylhomocysteinase,0.5548,21,8.70E-24,2.09E-20,1,4.87E-23,1.17E-19,1,essential
410,HNEAP_RS02065,1,NC_013422.1,436040,436909,869,+,methylenetetrahydrofolate reductase [NAD(P)H],0.577,14,5.20E-16,1.25E-12,0,1.53E-15,3.68E-12,0,essential
411,HNEAP_RS02070,1,NC_013422.1,437084,437998,914,+,SPFH/Band 7/PHB domain protein,0.553,13,0.12340398,297.1567828,29,0.123066308,296.3436695,28,nonessential
412,HNEAP_RS02075,1,NC_013422.1,438038,438391,353,+,hypothetical protein,0.5424,4,0.461209219,1110.591798,13,0.50733453,1221.661549,13,nonessential
413,HNEAP_RS02080,1,NC_013422.1,438432,438884,452,+,NfeD family protein,0.5894,10,0.286715833,690.411726,15,0.332031956,799.5329506,15,nonessential
414,HNEAP_RS02085,1,NC_013422.1,438898,440259,1361,+,adenosylmethionine--8-amino-7-oxononanoate transaminase,0.5808,29,3.27E-15,7.88E-12,8,2.74E-17,6.59E-14,5,essential
415,HNEAP_RS02090,1,NC_013422.1,440276,441010,734,+,16S rRNA (uracil(1498)-N(3))-methyltransferase,0.6041,12,0.970643579,2337.309737,39,0.957254172,2305.068046,37,nonessential
416,HNEAP_RS02095,1,NC_013422.1,441043,442227,1184,+,peptide chain release factor 2,0.546,20,1.87E-18,4.50E-15,2,7.64E-18,1.84E-14,2,essential
417,HNEAP_RS02100,1,NC_013422.1,442272,443807,1535,+,lysine--tRNA ligase,0.5671,34,1.01E-27,2.42E-24,0,6.77E-27,1.63E-23,0,essential
418,HNEAP_RS02105,1,NC_013422.1,444379,445509,1130,+,iron-sulfur cluster carrier protein ApbC,0.5703,20,0.004157598,10.01149539,28,4.29E-05,0.103380447,20,nonessential
419,HNEAP_RS02110,1,NC_013422.1,445496,445978,482,+,hypothetical protein,0.5714,7,0.999937641,2407.849838,37,0.999846953,2407.631463,35,nonessential
420,HNEAP_RS02115,1,NC_013422.1,446044,446544,500,+,lipid hydroperoxide peroxidase,0.5749,7,0.80199034,1931.192739,23,0.839171039,2020.723863,23,nonessential
421,HNEAP_RS02120,1,NC_013422.1,446561,447502,941,+,fructokinase,0.5924,13,0.97502873,2347.869182,49,0.984583644,2370.877415,49,nonessential
422,HNEAP_RS02125,1,NC_013422.1,447499,448800,1301,+,arsenical efflux pump membrane protein ArsB,0.5591,32,0.989426536,2382.539098,68,0.99444177,2394.615783,68,nonessential
423,HNEAP_RS02130,1,NC_013422.1,448808,450313,1505,+,exodeoxyribonuclease VII large subunit,0.6069,19,0.978420842,2356.037387,75,0.971285193,2338.854745,72,nonessential
424,HNEAP_RS02135,1,NC_013422.1,450375,450752,377,-,cytoplasmic domain of flagellar protein FhlB-like protein,0.5556,7,0.997376829,2401.683405,26,0.998274154,2403.844162,26,nonessential
425,HNEAP_RS02140,1,NC_013422.1,450780,452120,1340,-,flagellar hook-length control protein FliK,0.5936,13,0.996664319,2399.967681,73,0.997634409,2402.303658,72,nonessential
426,HNEAP_RS02145,1,NC_013422.1,452328,453797,1469,+,sigma-54-dependent Fis family transcriptional regulator,0.581,17,0.993168425,2391.549567,77,0.995224052,2396.499518,76,nonessential
427,HNEAP_RS02150,1,NC_013422.1,453896,454237,341,+,flagellar hook-basal body complex protein FliE,0.5439,3,0.911099608,2193.927856,18,0.92896859,2236.956365,18,nonessential
428,HNEAP_RS02155,1,NC_013422.1,454266,456038,1772,+,flagellar M-ring protein FliF,0.5623,28,0.866990562,2087.713274,79,0.896132681,2157.887497,78,nonessential
429,HNEAP_RS02160,1,NC_013422.1,456040,457080,1040,+,flagellar motor switch protein FliG,0.5524,16,0.999520297,2406.844874,63,0.999397708,2406.549682,61,nonessential
430,HNEAP_RS02165,1,NC_013422.1,457064,457846,782,+,flagellar assembly protein FliH,0.6207,6,0.263912837,635.5021117,27,0.256588229,617.8644555,26,nonessential
431,HNEAP_RS02170,1,NC_013422.1,457843,459240,1397,+,flagellar protein export ATPase FliI,0.6044,24,0.999616633,2407.076853,81,0.999847543,2407.632883,81,nonessential
432,HNEAP_RS02175,1,NC_013422.1,459237,459713,476,+,hypothetical protein,0.5304,10,0.999999998,2407.999995,48,0.999999982,2407.999958,45,nonessential
433,HNEAP_RS02180,1,NC_013422.1,459731,461245,1514,+,flagellar hook-length control protein FliK,0.5307,30,0.999669077,2407.203138,87,0.999693813,2407.262701,85,nonessential
434,HNEAP_RS02185,1,NC_013422.1,461578,461901,323,+,histone family protein nucleoid-structuring protein H-NS,0.4907,9,0.783191869,1885.926021,15,0.815399027,1963.480858,15,nonessential
435,HNEAP_RS02190,1,NC_013422.1,462170,463372,1202,-,hypothetical protein,0.5561,14,0.009250673,22.27562079,32,0.0007117,1.71377389,26,nonessential
436,HNEAP_RS02195,1,NC_013422.1,464290,464739,449,+,division/cell wall cluster transcriptional repressor MraZ,0.5422,4,1.27E-08,3.05E-05,0,2.21E-08,5.33E-05,0,essential
437,HNEAP_RS02200,1,NC_013422.1,464736,465689,953,+,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,0.5671,12,1.73E-17,4.17E-14,0,5.66E-17,1.36E-13,0,essential
438,HNEAP_RS02205,1,NC_013422.1,465686,465946,260,+,cell division protein FtsL,0.5747,2,2.67E-05,0.06438791,0,3.69E-05,0.088924651,0,ambiguous
439,HNEAP_RS02210,1,NC_013422.1,465988,467802,1814,+,hypothetical protein,0.5901,47,1.25E-32,3.00E-29,0,1.19E-31,2.85E-28,0,essential
440,HNEAP_RS02215,1,NC_013422.1,467799,469358,1559,+,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2 6-diaminopimelate ligase,0.5821,30,3.81E-28,9.16E-25,0,2.64E-27,6.35E-24,0,essential
441,HNEAP_RS02220,1,NC_013422.1,469355,470779,1424,+,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,0.567,21,5.39E-24,1.30E-20,1,3.06E-23,7.38E-20,1,essential
442,HNEAP_RS02225,1,NC_013422.1,470781,471863,1082,+,phospho-N-acetylmuramoyl-pentapeptide-transferase,0.5596,19,4.27E-18,1.03E-14,1,1.58E-17,3.82E-14,1,essential
443,HNEAP_RS02230,1,NC_013422.1,471863,473278,1415,+,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,0.5819,21,2.29E-22,5.52E-19,2,1.25E-21,3.01E-18,2,essential
444,HNEAP_RS02235,1,NC_013422.1,473275,474522,1247,+,cell division protein FtsW,0.5633,17,3.39E-15,8.17E-12,6,1.56E-15,3.77E-12,5,essential
445,HNEAP_RS02240,1,NC_013422.1,474519,475643,1124,+,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,0.5991,15,1.70E-20,4.10E-17,0,6.88E-20,1.66E-16,0,essential
446,HNEAP_RS02245,1,NC_013422.1,475640,477115,1475,+,UDP-N-acetylmuramate--L-alanine ligase,0.5982,22,2.19E-23,5.28E-20,2,1.29E-22,3.10E-19,2,essential
447,HNEAP_RS02250,1,NC_013422.1,477108,478082,974,+,D-alanine--D-alanine ligase,0.5877,13,7.40E-18,1.78E-14,0,2.48E-17,5.97E-14,0,essential
448,HNEAP_RS02255,1,NC_013422.1,478085,478900,815,+,cell division protein FtsQ,0.5821,12,2.79E-12,6.71E-09,2,7.21E-12,1.74E-08,2,essential
449,HNEAP_RS02260,1,NC_013422.1,478931,480181,1250,+,cell division protein FtsA,0.5987,18,1.04E-22,2.49E-19,0,4.89E-22,1.18E-18,0,essential
450,HNEAP_RS02265,1,NC_013422.1,480248,481393,1145,+,cell division protein FtsZ,0.5777,15,7.28E-21,1.75E-17,0,3.02E-20,7.26E-17,0,essential
451,HNEAP_RS02270,1,NC_013422.1,481756,482256,500,+,hypothetical protein,0.5289,14,0.856331119,2062.045335,24,0.9222964,2220.88973,25,nonessential
452,HNEAP_RS02275,1,NC_013422.1,482560,483021,461,-,RES domain-containing protein,0.5823,12,0.782318137,1883.822074,21,0.820308976,1975.304014,21,nonessential
453,HNEAP_RS12130,1,NC_013422.1,483018,483551,533,-,hypothetical protein,0.5974,9,4.96E-06,0.011936788,4,8.52E-06,0.020508237,4,essential
454,GFF455,7,NC_013422.1,483774,484823,1049,-,integrase,0.54,28,0.824288136,1984.885832,47,0.79667794,1918.40048,45,nonessential
455,HNEAP_RS02290,5,NC_013422.1,484996,485072,76,-,tRNA-Met,0.5455,3,0.046059598,110.9115112,0,0.050618223,121.8886806,0,ambiguous
456,HNEAP_RS02295,1,NC_013422.1,485265,487091,1826,-,RNA polymerase sigma factor RpoD,0.5523,24,5.86E-31,1.41E-27,1,5.48E-30,1.32E-26,1,essential
457,HNEAP_RS02300,1,NC_013422.1,487230,488909,1679,-,DNA primase,0.5643,27,2.08E-28,5.00E-25,1,1.62E-27,3.90E-24,1,essential
458,HNEAP_RS02305,1,NC_013422.1,489265,490032,767,+,sel1 repeat family protein,0.5573,25,1,2408,100,1,2408,97,nonessential
459,HNEAP_RS02310,1,NC_013422.1,490109,491554,1445,-,cardiolipin synthase,0.5636,32,1,2408,113,1,2408,112,nonessential
460,HNEAP_RS02315,1,NC_013422.1,491554,492396,842,-,short-chain dehydrogenase/reductase,0.5919,18,0.999999978,2407.999947,68,0.999999993,2407.999984,68,nonessential
461,HNEAP_RS02320,1,NC_013422.1,492545,493210,665,+,BAX inhibitor (BI)-1/YccA family protein,0.542,12,0.941691975,2267.594277,34,0.939688269,2262.769352,33,nonessential
462,HNEAP_RS02325,1,NC_013422.1,493301,493495,194,+,hypothetical protein,0.5282,1,0.91280996,2198.046383,11,0.869206714,2093.049766,10,nonessential
463,HNEAP_RS02330,1,NC_013422.1,493567,494154,587,+,CBS domain-containing protein,0.551,12,0.953478456,2295.976122,31,0.94988122,2287.313977,30,nonessential
464,HNEAP_RS02335,1,NC_013422.1,494145,494774,629,+,HPP family protein,0.5873,10,0.954430608,2298.268904,33,0.968015422,2330.981136,33,nonessential
465,HNEAP_RS02340,1,NC_013422.1,494874,496880,2006,+,methyl-accepting chemotaxis protein,0.5481,31,0.992256663,2389.354044,101,0.995371877,2396.85548,100,nonessential
466,HNEAP_RS02345,1,NC_013422.1,496904,497485,581,+,IclR family transcriptional regulator,0.6031,5,0.465598975,1121.162333,22,0.524811217,1263.745411,22,nonessential
467,HNEAP_RS02350,1,NC_013422.1,497833,498273,440,+,DUF3429 domain-containing protein,0.5828,7,0.989333295,2382.314574,27,0.9871132,2376.968585,26,nonessential
468,HNEAP_RS02355,1,NC_013422.1,498270,498947,677,+,DUF502 domain-containing protein,0.5619,12,0.929226065,2237.576364,34,0.927113251,2232.488708,33,nonessential
469,HNEAP_RS02360,1,NC_013422.1,498991,500775,1784,+,aspartate--tRNA ligase,0.5916,24,3.14E-30,7.56E-27,1,2.79E-29,6.71E-26,1,essential
470,HNEAP_RS02365,1,NC_013422.1,500852,501937,1085,+,quinolinate synthase NadA,0.5838,11,1.52E-14,3.65E-11,4,5.15E-14,1.24E-10,4,essential
471,HNEAP_RS02370,1,NC_013422.1,502064,503914,1850,+,sodium/hydrogen exchanger,0.5348,57,0.99999993,2407.999832,121,0.999999975,2407.999941,120,nonessential
472,HNEAP_RS02375,5,NC_013422.1,503998,504073,75,+,tRNA-Gly,0.5921,1,0.047963187,115.4953544,0,0.052644801,126.7686803,0,ambiguous
473,HNEAP_RS02380,5,NC_013422.1,504075,504150,75,+,tRNA-Val,0.5921,3,0.047963187,115.4953544,0,0.052644801,126.7686803,0,ambiguous
474,HNEAP_RS02385,5,NC_013422.1,504161,504237,76,+,tRNA-Asp,0.6623,2,0.046059598,110.9115112,0,0.050618223,121.8886806,0,ambiguous
475,HNEAP_RS02390,1,NC_013422.1,504434,505717,1283,+,integrase,0.546,30,0.999999863,2407.999669,90,0.999999748,2407.999394,87,nonessential
476,HNEAP_RS02395,1,NC_013422.1,505838,506875,1037,+,IS5/IS1182 family transposase,0.5645,14,5.77E-19,1.39E-15,0,2.09E-18,5.04E-15,0,essential
477,HNEAP_RS02400,1,NC_013422.1,507500,507904,404,+,hypothetical protein,0.5407,7,1,2407.999999,45,1,2407.999999,44,nonessential
478,HNEAP_RS12455,1,NC_013422.1,507894,510317,2423,+,relaxase,0.5561,47,1,2408,242,1,2408,237,nonessential
479,HNEAP_RS02425,1,NC_013422.1,510414,510584,170,-,AlpA family phage regulatory protein,0.5439,2,0.981341214,2363.069643,12,0.967566026,2329.898992,11,nonessential
480,HNEAP_RS02430,1,NC_013422.1,511384,512184,800,+,NAD(P)-dependent oxidoreductase,0.5593,13,0.756181097,1820.884081,35,0.756768813,1822.299302,34,nonessential
481,HNEAP_RS12135,1,NC_013422.1,512390,515425,3035,+,diguanylate cyclase with PAS/PAC and GAF sensors,0.5461,61,0.999999999,2407.999997,189,0.999999954,2407.99989,177,nonessential
482,HNEAP_RS02440,1,NC_013422.1,515917,516708,791,+,ABC transporter permease,0.5391,18,0.187774041,452.1598913,26,0.095675783,230.387285,23,nonessential
483,HNEAP_RS02445,1,NC_013422.1,516712,517440,728,+,ABC transporter ATP-binding protein,0.5322,16,0.002990859,7.201987991,15,0.00046039,1.10861967,12,nonessential
484,HNEAP_RS02450,1,NC_013422.1,517445,518881,1436,+,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,0.5296,33,0.998724802,2404.929322,80,0.998127987,2403.492192,77,nonessential
485,HNEAP_RS02455,1,NC_013422.1,518883,520364,1481,+,phosphomannomutase/phosphoglucomutase,0.5641,28,0.984398483,2370.431547,75,0.984405177,2370.447666,73,nonessential
486,HNEAP_RS02460,1,NC_013422.1,520364,521584,1220,+,hypothetical protein,0.4316,52,0.513671368,1236.920654,48,0.540812748,1302.277097,47,nonessential
487,HNEAP_RS12140,1,NC_013422.1,521678,524281,2603,+,group 1 glycosyl transferase,0.525,89,0.985090812,2372.098675,125,0.991869583,2388.421956,124,nonessential
488,HNEAP_RS02470,1,NC_013422.1,524409,525443,1034,+,GDP-mannose 4 6-dehydratase,0.5063,32,0.998279942,2403.858101,60,0.997841169,2402.801535,58,nonessential
489,HNEAP_RS02475,1,NC_013422.1,525494,526405,911,+,GDP-6-deoxy-D-lyxo-4-hexulose reductase,0.5197,22,0.773150485,1861.746367,40,0.728424368,1754.045879,38,nonessential
490,HNEAP_RS02480,1,NC_013422.1,526402,527598,1196,+,glycosyltransferase family 1 protein,0.4937,36,0.51100704,1230.504953,47,0.53669412,1292.35944,46,nonessential
491,HNEAP_RS02485,1,NC_013422.1,527608,528759,1151,+,group 1 glycosyl transferase,0.5469,34,0.999915718,2407.79705,72,0.99996682,2407.920102,72,nonessential
492,HNEAP_RS02490,1,NC_013422.1,528849,530252,1403,+,undecaprenyl-phosphate glucose phosphotransferase,0.5285,34,0.999999823,2407.999574,96,0.999999481,2407.998749,92,nonessential
493,HNEAP_RS02495,1,NC_013422.1,530296,530964,668,-,nucleotidyltransferase family protein,0.5575,11,0.58901403,1418.345784,27,0.719485574,1732.521261,28,nonessential
494,HNEAP_RS02500,1,NC_013422.1,531017,532501,1484,-,TolC family type I secretion outer membrane protein,0.5495,27,0.642029765,1546.007674,61,0.581314055,1399.804244,58,nonessential
495,HNEAP_RS02505,1,NC_013422.1,532762,533427,665,-,protein-L-isoaspartate O-methyltransferase,0.5465,10,8.17E-10,1.97E-06,2,1.27E-10,3.06E-07,1,essential
496,HNEAP_RS02510,1,NC_013422.1,533871,535760,1889,+,phosphomethylpyrimidine synthase ThiC,0.563,36,7.29E-20,1.75E-16,12,8.21E-20,1.98E-16,11,essential
497,HNEAP_RS02515,1,NC_013422.1,535846,536322,476,+,peroxiredoxin,0.5283,16,0.994502967,2394.763145,30,0.996422332,2399.384975,30,nonessential
498,HNEAP_RS12145,1,NC_013422.1,536333,537073,740,-,hypothetical protein,0.5776,23,0.446171165,1074.380166,28,0.436499904,1051.091768,27,nonessential
499,HNEAP_RS02525,1,NC_013422.1,537148,538068,920,+,hypothetical protein,0.5603,14,0.375688961,904.6590188,34,0.447890088,1078.519332,34,nonessential
500,HNEAP_RS02530,1,NC_013422.1,538079,538684,605,-,cation transporter,0.5479,11,0.90812943,2186.775667,30,0.902010958,2172.042387,29,nonessential
501,HNEAP_RS02535,1,NC_013422.1,538677,539000,323,-,DUF1244 domain-containing protein,0.5494,7,0.695873603,1675.663636,14,0.734424516,1768.494235,14,nonessential
502,HNEAP_RS02540,1,NC_013422.1,539041,539262,221,-,BolA family transcriptional regulator,0.5495,2,0.484054645,1165.603585,8,0.52071365,1253.878469,8,nonessential
503,HNEAP_RS02545,1,NC_013422.1,539350,540474,1124,-,ribonuclease D,0.5742,18,0.971961006,2340.482102,57,0.983272045,2367.719084,57,nonessential
504,HNEAP_RS02550,1,NC_013422.1,540479,541078,599,-,peptidyl-prolyl cis-trans isomerase,0.5333,15,0.406621721,979.1451043,22,0.381537545,918.7424087,21,nonessential
505,HNEAP_RS02555,1,NC_013422.1,541071,541487,416,-,RNA polymerase-binding protein DksA,0.5492,6,0.8917787,2147.40311,21,0.871783525,2099.254729,20,nonessential
506,HNEAP_RS12150,1,NC_013422.1,541662,542414,752,-,energy transducer TonB,0.5657,11,0.999806095,2407.533076,50,0.999825121,2407.578891,49,nonessential
507,HNEAP_RS02565,1,NC_013422.1,542470,543570,1100,-,FAD:protein FMN transferase,0.5777,19,2.40E-11,5.78E-08,8,3.67E-10,8.83E-07,9,essential
