,locusId,old_locus_tag,gene,product,protein_id,giNum
619,HNEAP_RS03235,['Hneap_0639'],,['amino acid-binding ACT domain-containing protein'],WP_012823528.1,502585750
620,HNEAP_RS03240,['Hneap_0640'],,['peroxiredoxin'],WP_012823529.1,502585751
621,HNEAP_RS03245,['Hneap_0641'],,['PhoH family protein'],WP_012823530.1,502585752
622,HNEAP_RS03250,['Hneap_0642'],,['5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase'],WP_012823531.1,502585753
623,HNEAP_RS03255,['Hneap_0643'],,['hypothetical protein'],WP_012823532.1,502585754
624,HNEAP_RS03260,['Hneap_0644'],,['alpha/beta hydrolase'],WP_012823533.1,502585755
625,HNEAP_RS03265,,,['ribonuclease T'],WP_012823534.1,502585756
626,HNEAP_RS03270,['Hneap_0646'],,['bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD'],WP_012823535.1,502585757
627,HNEAP_RS03275,['Hneap_0647'],,['TIGR00341 family protein'],WP_012823536.1,502585758
628,HNEAP_RS03280,['Hneap_0648'],,['ATP-dependent DNA helicase'],WP_049772456.1,908628423
629,HNEAP_RS12175,['Hneap_0649'],,['hypothetical protein'],WP_081441095.1,1174219914
630,HNEAP_RS03290,['Hneap_0650'],,['penicillin-binding protein 1B'],WP_012823539.1,502585761
631,HNEAP_RS03295,['Hneap_0651'],,['hypothetical protein'],WP_081441096.1,1174219915
632,HNEAP_RS03300,['Hneap_0652'],,['glycine zipper 2TM domain-containing protein'],WP_012823541.1,502585763
633,HNEAP_RS03305,['Hneap_0653'],,['DNA mismatch repair protein MutS'],WP_012823542.1,502585764
634,HNEAP_RS03310,,,['septum site-determining protein MinC'],WP_012823543.1,502585765
635,HNEAP_RS03315,['Hneap_0656'],,['cell division protein ZapD'],WP_012823544.1,502585766
636,HNEAP_RS03320,['Hneap_0657'],,['methionine synthase'],WP_012823545.1,502585768
637,HNEAP_RS03325,['Hneap_0658'],,['DUF2062 domain-containing protein'],WP_012823546.1,502585769
638,HNEAP_RS03330,['Hneap_0659'],,['MFS transporter'],WP_012823547.1,502585770
639,HNEAP_RS03335,['Hneap_0660'],,['HlyD family secretion protein'],WP_012823548.1,502585771
640,HNEAP_RS03340,,,['MarR family transcriptional regulator'],WP_012823549.1,502585772
641,HNEAP_RS03345,['Hneap_0662'],['pyrG'],['CTP synthase'],WP_012823550.1,502585773
642,HNEAP_RS03350,['Hneap_0663'],,['3-deoxy-8-phosphooctulonate synthase'],WP_012823551.1,502585774
643,HNEAP_RS03355,['Hneap_0664'],,['phosphopyruvate hydratase'],WP_012823552.1,502585775
644,HNEAP_RS03360,,,['septum formation initiator'],WP_012823553.1,502585776
645,HNEAP_RS03365,['Hneap_0666'],,['2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase'],WP_081441177.1,1174219996
646,HNEAP_RS03370,['Hneap_0667'],,"['2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase']",WP_012823555.1,502585778
647,HNEAP_RS03375,,,['GGDEF domain-containing protein'],WP_081441097.1,1174219916
648,HNEAP_RS03380,,,['PAS domain S-box protein'],WP_041600348.1,753844731
649,HNEAP_RS03385,['Hneap_0669'],,['protein-disulfide reductase DsbD'],WP_081441098.1,1174219917
650,HNEAP_RS03390,,,['hypothetical protein'],WP_049772460.1,908628427
651,HNEAP_RS03395,,,"[""pyridoxamine 5'-phosphate oxidase-like FMN-binding protein""]",WP_012823558.1,502585781
652,HNEAP_RS03400,['Hneap_0672'],,['cytochrome c assembly protein'],WP_012823559.1,502585782
653,HNEAP_RS03405,['Hneap_0673'],,['FAD-binding protein'],WP_012823560.1,502585783
654,HNEAP_RS03410,['Hneap_0674'],,['SIS domain-containing protein'],WP_012823561.1,502585784
655,HNEAP_RS03415,,,['YraN family protein'],WP_049772461.1,908628428
656,HNEAP_RS03420,['Hneap_0676'],,['hypothetical protein'],WP_081441099.1,1174219918
657,HNEAP_RS03425,['Hneap_0677'],,"[""16S rRNA (cytidine(1402)-2'-O)-methyltransferase""]",WP_081441178.1,1174219997
658,HNEAP_RS03430,['Hneap_0678'],,['4-hydroxy-tetrahydrodipicolinate synthase'],WP_012823565.1,502585788
659,HNEAP_RS03435,['Hneap_0679'],,['outer membrane protein assembly factor BamC'],WP_012823566.1,502585789
660,HNEAP_RS03440,['Hneap_0680'],,['argininosuccinate synthase'],WP_012823567.1,502585790
661,HNEAP_RS03445,['Hneap_0681'],,['diguanylate cyclase'],WP_012823568.1,502585791
662,HNEAP_RS03450,['Hneap_0682'],,['hypothetical protein'],WP_012823569.1,502585792
663,HNEAP_RS03455,['Hneap_0683'],,['glutamate--tRNA ligase'],WP_012823570.1,502585793
664,HNEAP_RS03460,['Hneap_0684'],,['PAS domain-containing protein'],WP_012823571.1,502585794
665,HNEAP_RS03465,['Hneap_0685'],,['hypothetical protein'],WP_041600351.1,753844734
666,HNEAP_RS03470,['Hneap_0686'],,['hypothetical protein'],WP_012823573.1,502585796
667,HNEAP_RS03475,['Hneap_0687'],,['hypothetical protein'],WP_012823574.1,502585797
668,HNEAP_RS03480,['Hneap_0688'],,['hypothetical protein'],WP_012823575.1,502585798
669,HNEAP_RS03485,['Hneap_0689'],,['DUF924 domain-containing protein'],WP_012823576.1,502585799
670,HNEAP_RS03490,['Hneap_0690'],,['diguanylate cyclase'],WP_049772560.1,908628527
671,HNEAP_RS03495,['Hneap_0691'],,['NAD(P)/FAD-dependent oxidoreductase'],WP_012823578.1,502585801
672,HNEAP_RS03500,['Hneap_0692'],,['hypothetical protein'],WP_012823579.1,502585802
673,HNEAP_RS03505,['Hneap_0693'],,['DUF883 domain-containing protein'],WP_012823580.1,502585803
674,HNEAP_RS03510,['Hneap_0694'],,['shikimate dehydrogenase'],WP_012823581.1,502585804
675,HNEAP_RS03515,['Hneap_0695'],,['ribose-5-phosphate isomerase RpiA'],WP_012823582.1,502585805
676,HNEAP_RS03520,['Hneap_0696'],,"['threonine ammonia-lyase, biosynthetic']",WP_012823583.1,502585806
677,HNEAP_RS03525,['Hneap_0697'],,['EVE domain-containing protein'],WP_012823584.1,502585807
678,HNEAP_RS03530,['Hneap_0698'],,['5-formyltetrahydrofolate cyclo-ligase'],WP_012823585.1,502585808
679,HNEAP_RS03535,['Hneap_0699'],,['methyltransferase domain-containing protein'],WP_012823586.1,502585809
680,HNEAP_RS03540,['Hneap_0700'],,['L-aspartate oxidase'],WP_012823587.1,502585810
681,HNEAP_RS03545,['Hneap_0701'],,['RNA polymerase sigma factor RpoE'],WP_012823588.1,502585811
682,HNEAP_RS03550,['Hneap_0702'],,['hypothetical protein'],WP_012823589.1,502585812
683,HNEAP_RS03555,,,['hypothetical protein'],WP_041600352.1,753844735
684,HNEAP_RS03560,,,['hypothetical protein'],WP_081441100.1,1174219919
685,HNEAP_RS03565,,,"['positive regulator of sigma E, RseC/MucC']",WP_012823590.1,502585813
686,HNEAP_RS12180,['Hneap_0705'],,['GGDEF domain-containing protein'],WP_012823591.1,502585814
687,HNEAP_RS03575,['Hneap_0706'],,['hypothetical protein'],WP_041600354.1,753844737
688,HNEAP_RS03580,['Hneap_0707'],,['flagellar motor switch protein FliM'],WP_012823593.1,502585816
689,HNEAP_RS03585,['Hneap_0708'],,['flagellar motor switch protein FliN'],WP_012823594.1,502585817
690,HNEAP_RS12185,['Hneap_0709'],,['flagellar biosynthetic protein FliO'],WP_012823595.1,502585818
691,HNEAP_RS03595,['Hneap_0710'],,['flagellar biosynthetic protein FliP'],WP_012823596.1,502585819
692,HNEAP_RS03600,['Hneap_0711'],,['flagellar biosynthetic protein FliQ'],WP_012823597.1,502585820
693,HNEAP_RS03605,['Hneap_0712'],,['flagellar biosynthetic protein FliR'],WP_012823598.1,502585821
694,HNEAP_RS03610,['Hneap_0713'],,['flagellar biosynthesis protein FlhB'],WP_012823599.1,502585822
695,HNEAP_RS03615,,,['flagellar biosynthesis protein FlhA'],,
696,HNEAP_RS03620,['Hneap_0715'],,['flagellar biosynthesis protein FlhF'],WP_012823600.1,502585823
697,HNEAP_RS03625,['Hneap_0716'],,['MinD/ParA family protein'],WP_012823601.1,502585824
698,HNEAP_RS03630,['Hneap_0717'],['fliA'],['RNA polymerase sigma factor FliA'],WP_012823602.1,502585825
699,HNEAP_RS03635,['Hneap_0718'],,['chemotaxis protein CheY'],WP_012823603.1,502585826
700,HNEAP_RS03640,['Hneap_0719'],,['protein phosphatase CheZ'],WP_081441101.1,1174219920
701,HNEAP_RS03645,['Hneap_0720'],,['chemotaxis protein CheA'],WP_012823605.1,502585828
702,HNEAP_RS03650,['Hneap_0721'],,['chemotaxis response regulator protein-glutamate methylesterase'],WP_012823606.1,502585829
703,HNEAP_RS03655,['Hneap_0722'],,['ParA family protein'],WP_012823607.1,502585830
704,HNEAP_RS03660,['Hneap_0723'],,['hypothetical protein'],WP_012823608.1,502585831
705,HNEAP_RS03665,['Hneap_0724'],,['hypothetical protein'],WP_041600674.1,753845057
706,HNEAP_RS03670,['Hneap_0725'],,['DUF2802 domain-containing protein'],WP_012823610.1,502585833
707,HNEAP_RS03675,['Hneap_0726'],,['DUF3488 domain-containing protein'],WP_012823611.1,502585834
708,HNEAP_RS03680,['Hneap_0727'],,['DUF58 domain-containing protein'],WP_012823612.1,502585835
709,HNEAP_RS03685,['Hneap_0728'],,['AI-2E family transporter'],WP_012823613.1,502585836
710,HNEAP_RS03690,['Hneap_0729'],,['DnaA regulatory inactivator Hda'],WP_012823614.1,502585837
711,HNEAP_RS03695,['Hneap_0730'],,['hypothetical protein'],WP_012823615.1,502585838
712,HNEAP_RS03700,['Hneap_0731'],,['hypothetical protein'],WP_012823616.1,502585839
713,HNEAP_RS03705,['Hneap_0732'],,['phosphatase'],WP_012823617.1,502585840
714,HNEAP_RS03710,['Hneap_0733'],,['hypothetical protein'],WP_012823618.1,502585841
715,HNEAP_RS03715,['Hneap_0734'],,['peptidylprolyl isomerase'],WP_012823619.1,502585842
716,HNEAP_RS03720,['Hneap_0735'],,['UTP--glucose-1-phosphate uridylyltransferase'],WP_012823620.1,502585843
717,HNEAP_RS03725,['Hneap_0736'],,['DUF2069 domain-containing protein'],WP_012823621.1,502585845
718,HNEAP_RS03730,['Hneap_0737'],,['NAD(P)H:quinone oxidoreductase'],WP_012823622.1,502585846
719,HNEAP_RS03735,['Hneap_0738'],,['TlpA family protein disulfide reductase'],WP_012823623.1,502585847
720,HNEAP_RS03740,['Hneap_0739'],,['DUF255 domain-containing protein'],WP_012823624.1,502585848
721,HNEAP_RS03745,['Hneap_0740'],,['TolC family protein'],WP_012823625.1,502585849
722,HNEAP_RS03750,['Hneap_0741'],,['hypothetical protein'],WP_012823626.1,502585850
723,HNEAP_RS03755,['Hneap_0742'],,['N-acetylglutaminylglutamine amidotransferase'],WP_012823627.1,502585851
724,HNEAP_RS03760,['Hneap_0743'],,['FAD-dependent oxidoreductase'],WP_012823628.1,502585852
725,HNEAP_RS03765,['Hneap_0744'],,['HPr family phosphocarrier protein'],WP_012823629.1,502585853
726,HNEAP_RS03770,['Hneap_0745'],,['PTS mannose transporter subunit IIA'],WP_012823630.1,502585854
727,HNEAP_RS03775,['Hneap_0746'],,['RNase adapter RapZ'],WP_012823631.1,502585855
728,HNEAP_RS12190,['Hneap_0747'],,['hypothetical protein'],WP_049772462.1,908628429
729,HNEAP_RS03785,['Hneap_0748'],,['PTS IIA-like nitrogen-regulatory protein PtsN'],WP_012823633.1,502585857
730,HNEAP_RS03790,['Hneap_0750'],,['ribosome-associated translation inhibitor RaiA'],WP_012823635.1,502585859
731,HNEAP_RS03795,['Hneap_0751'],,['RNA polymerase sigma-54 factor'],WP_012823636.1,502585860
732,HNEAP_RS03800,['Hneap_0752'],,['LPS export ABC transporter ATP-binding protein'],WP_012823637.1,502585861
733,HNEAP_RS03805,['Hneap_0753'],,['lipopolysaccharide transport periplasmic protein LptA'],WP_012823638.1,502585862
734,HNEAP_RS03810,['Hneap_0754'],,['LPS export ABC transporter periplasmic protein LptC'],WP_081441102.1,1174219921
735,HNEAP_RS03815,['Hneap_0755'],,['haloacid dehalogenase'],WP_012823640.1,502585864
736,HNEAP_RS03820,['Hneap_0756'],,['KpsF/GutQ family sugar-phosphate isomerase'],WP_012823641.1,502585865
737,HNEAP_RS03825,['Hneap_0757'],,['formylglycine-generating enzyme family protein'],WP_012823642.1,502585866
738,HNEAP_RS03830,['Hneap_0758'],,['hypothetical protein'],WP_012823643.1,502585867
739,HNEAP_RS03835,['Hneap_0759'],,['ABC transporter ATP-binding protein'],WP_012823644.1,502585868
740,HNEAP_RS03840,['Hneap_0760'],,['ABC transporter permease'],WP_012823645.1,502585869
741,HNEAP_RS03845,['Hneap_0761'],,['outer membrane lipid asymmetry maintenance protein MlaD'],WP_041600683.1,753845066
742,HNEAP_RS03850,['Hneap_0762'],,['TolC family protein'],WP_012823647.1,502585871
743,HNEAP_RS03855,['Hneap_0763'],,['toluene tolerance family protein'],WP_012823648.1,502585872
744,HNEAP_RS03860,['Hneap_0764'],,['STAS domain-containing protein'],WP_012823649.1,502585873
745,HNEAP_RS03865,['Hneap_0765'],,['UDP-N-acetylglucosamine 1-carboxyvinyltransferase'],WP_012823650.1,502585874
746,HNEAP_RS03870,['Hneap_0766'],,['ATP phosphoribosyltransferase'],WP_012823651.1,502585875
747,HNEAP_RS03875,['Hneap_0767'],,['histidinol dehydrogenase'],WP_012823652.1,502585876
748,HNEAP_RS03880,['Hneap_0768'],,['histidinol-phosphate transaminase'],WP_012823653.1,502585877
749,HNEAP_RS03890,['Hneap_0769'],,['DNA polymerase III subunit gamma/tau'],WP_012823654.1,502585878
750,HNEAP_RS03895,['Hneap_0770'],,"['nucleoid-associated protein, YbaB/EbfC family']",WP_012823655.1,502585879
751,HNEAP_RS03900,['Hneap_0771'],,['recombination protein RecR'],WP_012823656.1,502585880
752,HNEAP_RS03905,['Hneap_0772'],,['PilZ domain-containing protein'],WP_012823657.1,502585881
753,HNEAP_RS03910,['Hneap_0773'],,['DUF1631 domain-containing protein'],WP_012823658.1,502585882
754,HNEAP_RS03915,['Hneap_0774'],,['glycogen synthase GlgA'],WP_012823659.1,502585884
755,HNEAP_RS03920,['Hneap_0775'],,"['1,4-alpha-glucan branching protein GlgB']",WP_012823660.1,502585885
756,HNEAP_RS03925,['Hneap_0776'],,['glucose-1-phosphate adenylyltransferase'],WP_012823661.1,502585886
757,HNEAP_RS03930,['Hneap_0777'],,['glycoside hydrolase'],WP_012823662.1,502585887
758,HNEAP_RS03935,['Hneap_0778'],,['4-alpha-glucanotransferase'],WP_041600687.1,753845070
759,HNEAP_RS03940,['Hneap_0779'],,['hypothetical protein'],,
760,HNEAP_RS03945,,,['hypothetical protein'],WP_041600357.1,753844740
761,HNEAP_RS03950,['Hneap_0780'],,['multidrug ABC transporter substrate-binding protein'],WP_012823665.1,502585890
762,HNEAP_RS03955,['Hneap_0781'],,['ABC transporter ATP-binding protein'],WP_012823666.1,502585891
763,HNEAP_RS03960,['Hneap_0782'],,['efflux RND transporter periplasmic adaptor subunit'],WP_012823667.1,502585892
764,HNEAP_RS03965,['Hneap_0783'],,['RND transporter'],WP_012823668.1,502585893
765,HNEAP_RS03975,['Hneap_0784'],,['HAMP domain-containing protein'],WP_012823669.1,502585894
766,HNEAP_RS03980,['Hneap_0785'],,['DNA-binding response regulator'],WP_012823670.1,502585895
767,HNEAP_RS03985,['Hneap_0786'],,['TolC family protein'],WP_012823671.1,502585896
768,HNEAP_RS03990,['Hneap_0787'],,['efflux RND transporter periplasmic adaptor subunit'],WP_012823672.1,502585897
769,HNEAP_RS03995,['Hneap_0788'],,['AcrB/AcrD/AcrF family protein'],WP_012823673.1,502585898
770,HNEAP_RS04000,['Hneap_0789'],,['hypothetical protein'],WP_049772565.1,908628532
771,HNEAP_RS04005,['Hneap_0790'],,['ABC transporter substrate-binding protein'],WP_012823675.1,502585900
772,HNEAP_RS04010,['Hneap_0791'],,['nitrate ABC transporter permease'],WP_041600358.1,753844741
773,HNEAP_RS04015,['Hneap_0792'],,['ABC transporter ATP-binding protein'],WP_012823677.1,502585902
774,HNEAP_RS04020,['Hneap_0793'],,['creatininase'],WP_012823678.1,502585903
775,HNEAP_RS04025,['Hneap_0794'],,['type III glutamate--ammonia ligase'],WP_012823679.1,502585904
776,HNEAP_RS04030,['Hneap_0795'],,['nickel-responsive transcriptional regulator NikR'],WP_012823680.1,502585905
777,HNEAP_RS04035,['Hneap_0796'],,['DUF1989 domain-containing protein'],WP_012823681.1,502585906
778,HNEAP_RS04040,['Hneap_0797'],,['DUF1989 domain-containing protein'],WP_012823682.1,502585907
779,HNEAP_RS04045,['Hneap_0798'],,['urea carboxylase'],WP_012823683.1,502585908
780,HNEAP_RS04055,['Hneap_0799'],,"[""primosomal protein N'""]",WP_041600691.1,753845074
781,HNEAP_RS04060,['Hneap_0800'],,['P-II family nitrogen regulator'],WP_012823685.1,502585910
782,HNEAP_RS04065,['Hneap_0801'],,['glycine oxidase ThiO'],WP_012823686.1,502585911
783,HNEAP_RS04075,['Hneap_0802'],,['VIT family protein'],WP_012823687.1,502585912
784,HNEAP_RS04080,['Hneap_0803'],,['hypothetical protein'],WP_012823688.1,502585913
785,HNEAP_RS04085,['Hneap_0804'],,"[""bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase""]",WP_012823689.1,502585914
786,HNEAP_RS04090,['Hneap_0805'],,['hypothetical protein'],WP_012823690.1,502585915
787,HNEAP_RS04095,['Hneap_0806'],,['DUF3365 domain-containing protein'],WP_012823691.1,502585916
788,HNEAP_RS04100,['Hneap_0807'],,['molybdenum ABC transporter ATP-binding protein'],WP_012823692.1,502585917
789,HNEAP_RS04105,['Hneap_0808'],,['molybdate ABC transporter permease subunit'],WP_012823693.1,502585918
790,HNEAP_RS04110,['Hneap_0809'],,['molybdate ABC transporter substrate-binding protein'],WP_012823694.1,502585919
791,HNEAP_RS04115,['Hneap_0810'],,['ModE family transcriptional regulator'],WP_012823695.1,502585920
792,HNEAP_RS12195,,,['hypothetical protein'],WP_081441103.1,1174219922
793,HNEAP_RS04120,,,['hypothetical protein'],WP_081441104.1,1174219923
794,HNEAP_RS04125,['Hneap_0814'],,['deoxyribodipyrimidine photo-lyase'],WP_012823697.1,502585923
795,HNEAP_RS04130,['Hneap_0815'],,['efflux RND transporter periplasmic adaptor subunit'],WP_012823698.1,502585924
796,HNEAP_RS04135,['Hneap_0816'],,['AcrB/AcrD/AcrF family protein'],WP_012823699.1,502585925
797,HNEAP_RS12485,['Hneap_0817'],,['hypothetical protein'],,
798,HNEAP_RS04150,['Hneap_0818'],,['CRISPR-associated endonuclease Cas2'],WP_012823700.1,502585926
799,HNEAP_RS04155,['Hneap_0819'],,['type I-C CRISPR-associated endonuclease Cas1'],WP_012823701.1,502585927
800,HNEAP_RS04160,['Hneap_0820'],,"['ribbon-helix-helix protein, CopG family']",WP_081441105.1,1174219924
801,HNEAP_RS04165,['Hneap_0821'],,['type II toxin-antitoxin system PemK/MazF family toxin'],WP_012823703.1,502585929
802,HNEAP_RS04170,['Hneap_0822'],,['CRISPR-associated protein Cas4'],WP_012823704.1,502585930
803,HNEAP_RS04175,['Hneap_0823'],,['type I-C CRISPR-associated protein Cas7/Csd2'],WP_012823705.1,502585931
804,HNEAP_RS04180,['Hneap_0824'],,['type I-C CRISPR-associated protein Cas8c/Csd1'],WP_012823706.1,502585932
805,HNEAP_RS04185,['Hneap_0825'],,['type I-C CRISPR-associated protein Cas5'],WP_012823707.1,502585933
806,HNEAP_RS04190,['Hneap_0826'],,['CRISPR-associated helicase/endonuclease Cas3'],WP_012823708.1,502585934
807,HNEAP_RS04195,['Hneap_0827'],,"['addiction module antidote protein, HigA family']",WP_012823709.1,502585935
808,HNEAP_RS04200,,,['hypothetical protein'],WP_081441179.1,1174219998
809,HNEAP_RS04205,['Hneap_0829'],,['gamma-glutamyltransferase family protein'],WP_012823710.1,502585936
810,HNEAP_RS04210,['Hneap_0830'],,['C4-dicarboxylate ABC transporter'],WP_012823711.1,502585937
811,HNEAP_RS04215,['Hneap_0831'],,['C4-dicarboxylate ABC transporter permease'],WP_012823712.1,502585938
812,HNEAP_RS04220,['Hneap_0832'],,['C4-dicarboxylate ABC transporter'],WP_012823713.1,502585939
813,HNEAP_RS04225,['Hneap_0833'],,['Lrp/AsnC family transcriptional regulator'],WP_012823714.1,502585940
814,HNEAP_RS04230,['Hneap_0834'],,['GntR family transcriptional regulator'],WP_012823715.1,502585941
815,HNEAP_RS04235,['Hneap_0835'],,['hypothetical protein'],WP_012823716.1,502585942
816,HNEAP_RS04240,['Hneap_0836'],,['allantoinase PuuE'],WP_012823717.1,502585943
817,HNEAP_RS04245,['Hneap_0837'],,['OHCU decarboxylase'],WP_012823718.1,502585944
818,HNEAP_RS04250,['Hneap_0838'],,['ABC transporter ATP-binding protein'],WP_012823719.1,502585945
819,HNEAP_RS04255,['Hneap_0839'],,['ABC transporter permease'],WP_012823720.1,502585946
820,HNEAP_RS04260,['Hneap_0840'],,['ABC transporter permease'],WP_012823721.1,502585947
821,HNEAP_RS04265,['Hneap_0841'],,['8-oxoguanine deaminase'],WP_012823722.1,502585948
822,HNEAP_RS04270,['Hneap_0842'],,['nucleoside deaminase'],WP_012823723.1,502585949
823,HNEAP_RS04275,['Hneap_0843'],,['uracil phosphoribosyltransferase'],WP_012823724.1,502585950
824,HNEAP_RS04280,['Hneap_0844'],,['cytosine deaminase'],WP_012823725.1,502585951
825,HNEAP_RS04285,['Hneap_0845'],,['DUF3225 domain-containing protein'],WP_041600698.1,753845081
826,HNEAP_RS04290,['Hneap_0846'],,['AtzE family amidohydrolase'],WP_012823727.1,502585953
827,HNEAP_RS04295,['Hneap_0847'],,['DUF4089 domain-containing protein'],WP_012823728.1,502585954
828,HNEAP_RS04300,['Hneap_0848'],,['cysteine hydrolase'],WP_012823729.1,502585955
829,HNEAP_RS04305,['Hneap_0849'],,['ABC transporter ATP-binding protein'],WP_012823730.1,502585956
830,HNEAP_RS04310,['Hneap_0850'],,['cysteine hydrolase'],WP_012823731.1,502585957
831,HNEAP_RS04315,['Hneap_0851'],,['ABC transporter permease'],WP_012823732.1,502585958
832,HNEAP_RS04320,['Hneap_0852'],,['ABC transporter permease'],WP_012823733.1,502585959
833,HNEAP_RS04325,['Hneap_0853'],,['BMP family ABC transporter substrate-binding protein'],WP_012823734.1,502585960
834,HNEAP_RS04330,['Hneap_0854'],,['hypothetical protein'],WP_012823735.1,502585961
835,HNEAP_RS04335,['Hneap_0855'],,['GntR family transcriptional regulator'],WP_012823736.1,502585962
836,HNEAP_RS04340,['Hneap_0856'],,['isopenicillin N synthase family oxygenase'],WP_081441106.1,1174219925
837,HNEAP_RS04345,['Hneap_0857'],,['nucleoside deaminase'],WP_012823738.1,502585965
838,HNEAP_RS12200,['Hneap_0858'],,['xanthine dehydrogenase accessory protein XdhC'],WP_012823739.1,502585966
839,HNEAP_RS04355,['Hneap_0859'],,['xanthine dehydrogenase molybdopterin binding subunit'],WP_012823740.1,502585967
840,HNEAP_RS04360,['Hneap_0860'],,['xanthine dehydrogenase small subunit'],WP_012823741.1,502585968
841,HNEAP_RS04365,['Hneap_0861'],,['hydroxyisourate hydrolase'],WP_012823742.1,502585969
842,HNEAP_RS04370,['Hneap_0862'],,['amidase'],WP_012823743.1,502585970
843,HNEAP_RS04375,['Hneap_0864'],,['sulfite exporter TauE/SafE family protein'],WP_012823745.1,502585972
844,HNEAP_RS04380,['Hneap_0865'],,['alanine--glyoxylate aminotransferase family protein'],WP_012823746.1,502585973
845,HNEAP_RS04385,['Hneap_0866'],,['allantoate amidohydrolase'],WP_012823747.1,502585974
846,HNEAP_RS04390,['Hneap_0867'],,['ribonuclease E inhibitor RraA'],WP_012823748.1,502585975
847,HNEAP_RS04395,['Hneap_0868'],,['adenosine deaminase'],WP_012823749.1,502585976
848,HNEAP_RS04400,['Hneap_0869'],,['BMP family ABC transporter substrate-binding protein'],WP_012823750.1,502585977
849,HNEAP_RS04405,['Hneap_0870'],,['hypothetical protein'],WP_012823751.1,502585978
850,HNEAP_RS04410,['Hneap_0872'],,['formamidase'],WP_012823753.1,502585980
851,HNEAP_RS04415,['Hneap_0873'],,['amino acid ABC transporter ATP-binding protein'],WP_012823754.1,502585981
852,HNEAP_RS04420,,,['hypothetical protein'],,
853,HNEAP_RS04430,['Hneap_0876'],,['IS3 family transposase'],,
854,HNEAP_RS04435,,,['GNAT family N-acetyltransferase'],,
855,HNEAP_RS04440,['Hneap_0878'],,['oxygen-independent coproporphyrinogen III oxidase'],WP_012823757.1,502585984
856,HNEAP_RS04445,['Hneap_0879'],,['trimeric intracellular cation channel family protein'],WP_012823758.1,502585985
857,HNEAP_RS04450,['Hneap_0880'],,['ABC transporter ATP-binding protein'],WP_012823759.1,502585986
858,HNEAP_RS04455,['Hneap_0881'],,['ABC transporter permease'],WP_041600710.1,753845093
859,HNEAP_RS04460,['Hneap_0882'],,['collagenase-like protease'],WP_012823761.1,502585988
860,HNEAP_RS04465,['Hneap_0883'],,['EAL domain-containing protein'],WP_012823762.1,502585989
861,HNEAP_RS04470,['Hneap_0884'],,['DUF202 domain-containing protein'],WP_012823763.1,502585990
862,HNEAP_RS12490,['Hneap_0885'],,"['peptidase S24/S26A/S26B, conserved region']",WP_012823764.1,502585991
863,HNEAP_RS04480,['Hneap_0886'],,['Y-family DNA polymerase'],WP_012823765.1,502585992
864,HNEAP_RS04485,['Hneap_0887'],['actP'],['cation acetate symporter'],WP_012823766.1,502585993
865,HNEAP_RS04490,['Hneap_0888'],,['DUF485 domain-containing protein'],WP_012823767.1,502585994
866,HNEAP_RS04495,['Hneap_0889'],,['MoxR family ATPase'],WP_049772569.1,908628536
867,HNEAP_RS04500,['Hneap_0890'],,['hypothetical protein'],WP_012823769.1,502585996
868,HNEAP_RS04505,['Hneap_0891'],,['hypothetical protein'],WP_012823770.1,502585997
869,HNEAP_RS04510,['Hneap_0892'],,['FAD-dependent oxidoreductase'],WP_012823771.1,502585998
870,HNEAP_RS04515,['Hneap_0893'],,['UbiH/UbiF/VisC/COQ6 family ubiquinone biosynthesis hydroxylase'],WP_012823772.1,502585999
871,HNEAP_RS04520,['Hneap_0894'],,['Xaa-Pro aminopeptidase'],WP_012823773.1,502586000
872,HNEAP_RS04525,['Hneap_0895'],,['hypothetical protein'],WP_012823774.1,502586001
873,HNEAP_RS04530,['Hneap_0896'],,['hypothetical protein'],WP_012823775.1,502586002
874,HNEAP_RS04535,['Hneap_0897'],,['cell division protein ZapA'],WP_012823776.1,502586003
875,HNEAP_RS04540,['Hneap_0898'],,['hypothetical protein'],WP_012823777.1,502586004
876,HNEAP_RS04545,['Hneap_0899'],,['type 3 dihydrofolate reductase'],WP_012823778.1,502586005
877,HNEAP_RS04550,['Hneap_0900'],,['phosphate starvation-inducible protein PsiE'],WP_012823779.1,502586006
878,HNEAP_RS04555,['Hneap_0901'],,['thymidylate synthase'],WP_012823780.1,502586007
879,HNEAP_RS04560,['Hneap_0902'],,['prolipoprotein diacylglyceryl transferase'],WP_012823781.1,502586008
880,HNEAP_RS04565,['Hneap_0903'],,['microcompartments protein'],WP_012823782.1,502586009
881,HNEAP_RS04570,['Hneap_0904'],,['hypothetical protein'],WP_012823783.1,502586011
882,HNEAP_RS04575,['Hneap_0905'],,['CbbQ/NirQ/NorQ/GpvN family protein'],WP_012823784.1,502586012
883,HNEAP_RS04580,['Hneap_0906'],,['P-II family nitrogen regulator'],WP_012823785.1,502586013
884,HNEAP_RS04585,['Hneap_0907'],,['DUF2309 domain-containing protein'],WP_012823786.1,502586014
